global_sentence_id,document_id,sentence_id,sentence
0,1,0,"

זיפּ: [...] װײסט אפֿשר װאָס ס׳הערט זיך מיט מנחמקעס משיח?"
1,1,1,[דליבעט זיך די נאָז].
2,1,2,טשאַרלי: יענער?
3,1,3,"יענער שאַרט דאָך אָן פֿעסער מיט גאָלד, זאָגט מען."
4,1,4,זיפּ: אַזױ?
5,1,5,גאָלד?
6,1,6,פֿעסער?
7,1,7,"— ער שאַרט, האַ?"
8,1,8,"שאַ נאָר, שאַ נאָר, לאָמיך נאָר טראַכטן אַ ביסל."
9,1,9,"[לײגט צו די האַנט צום שטערן] רוף זײ נאָך נישט, טשאַרלי."
10,1,10,[טראַכט] לאָמיך נאָר אַ ביסל קלערן.
11,1,11,"[פּױזע] דו װײסט װאָס איכ׳ל דיר זאָגן, טשאַרלי?"
12,1,12,טשאַרלי: װאָס?
13,1,13,זיפּ: מיר ברענגען אױך אַראָפּ אַ משיחן — און נאָך אַ בעסערן ווי מנחמקעס.
14,1,14,"טשאַרלי ברודער, מיר ברענגען אַראָפּ אַ מאָדערנעם משיח, אַ קאָװנער ציוניסט מיט אַ מאָנאָקל."
15,1,15,ער װעט רעדן אױף ענגליש.
16,1,16,"אַ משיח װאָס קען פֿאָרן אױף אַ מאָטאָרציקל, אַ משיח װאָס קאָן טאַנצן, אַ מאָדערנעם משיח אין פֿולן זינען דעם װאָרטעס, װי מ׳זאָגט."
17,1,17,"מנחמקע, הער איך, האָט געבראַכט אַ משיח פֿאַר מאַנסביל, און איך װעל ברענגען אַ משיח פֿאַר װײַבער."
18,1,18,"טשאַרלי: איר מײנט ס׳װעט זײַן אַ ביזנעס, אַ משיח פֿאַר װײַבער?"
19,1,19,"זיפּ: זאָלסט האָבן אַ כּלל, טשאַרלי, אַז מיט װײַבער איז שטענדיק בעסער צו האַנדלען װי מיט מענער."
20,1,20,לאָמיר נעמען אַ שטײגער אַזאַ פּראָסטע זאַך װי דאָקטױרים.
21,1,21,"װער מאַכט בעסערע ביזנעס, די װאָס ספּעציאַליזירן זיך אױף מענער־קראַנקייטן, צי די װאָס אױף פֿרױען־קראַנקײטן?"
22,1,22,"[ענטוזיאַסטיש] טשאַרלי, מענטש!"
23,1,23,דו װײסט װאָס דאָס הײסט: אַ משיח פֿאַר װײַבער?
